,word,song,paragraph,line,index
0,We,Chop Suey,1,1,1
1,rolling,Chop Suey,1,1,2
2,suicide,Chop Suey,1,1,3
3,Wake,Chop Suey,2,2,4
4,up,Chop Suey,2,2,5
5,wake,Chop Suey,2,2,6
6,up,Chop Suey,2,2,7
7,Grab,Chop Suey,2,3,8
8,a,Chop Suey,2,3,9
9,brush,Chop Suey,2,3,10
10,and,Chop Suey,2,3,11
11,put,Chop Suey,2,3,12
12,a,Chop Suey,2,3,13
13,little,Chop Suey,2,3,14
14,make,Chop Suey,2,3,15
15,up,Chop Suey,2,3,16
16,Hide,Chop Suey,2,4,17
17,the,Chop Suey,2,4,18
18,scars,Chop Suey,2,4,19
19,to,Chop Suey,2,4,20
20,fade,Chop Suey,2,4,21
21,away,Chop Suey,2,4,22
22,the,Chop Suey,2,4,23
23,shake,Chop Suey,2,4,24
24,up,Chop Suey,2,4,25
25,hide,Chop Suey,2,4,26
26,the,Chop Suey,2,4,27
27,scars,Chop Suey,2,4,28
28,to,Chop Suey,2,4,29
29,fade,Chop Suey,2,4,30
30,away,Chop Suey,2,4,31
31,the,Chop Suey,2,4,32
32,Why,Chop Suey,2,5,33
33,you,Chop Suey,2,5,34
34,leave,Chop Suey,2,5,35
35,the,Chop Suey,2,5,36
36,keys,Chop Suey,2,5,37
37,upon,Chop Suey,2,5,38
38,the,Chop Suey,2,5,39
39,table,Chop Suey,2,5,40
40,Here,Chop Suey,2,6,41
41,you,Chop Suey,2,6,42
42,go,Chop Suey,2,6,43
43,create,Chop Suey,2,6,44
44,another,Chop Suey,2,6,45
45,fable,Chop Suey,2,6,46
46,You,Chop Suey,3,7,47
47,wanted,Chop Suey,3,7,48
48,to,Chop Suey,3,7,49
49,Grab,Chop Suey,3,8,50
50,a,Chop Suey,3,8,51
51,brush,Chop Suey,3,8,52
52,and,Chop Suey,3,8,53
53,put,Chop Suey,3,8,54
54,a,Chop Suey,3,8,55
55,little,Chop Suey,3,8,56
56,makeup,Chop Suey,3,8,57
57,You,Chop Suey,3,9,58
58,wanted,Chop Suey,3,9,59
59,to,Chop Suey,3,9,60
60,Hide,Chop Suey,3,10,61
61,the,Chop Suey,3,10,62
62,scars,Chop Suey,3,10,63
63,to,Chop Suey,3,10,64
64,fade,Chop Suey,3,10,65
65,away,Chop Suey,3,10,66
66,the,Chop Suey,3,10,67
67,shake,Chop Suey,3,10,68
68,up,Chop Suey,3,10,69
69,You,Chop Suey,3,11,70
70,wanted,Chop Suey,3,11,71
71,to,Chop Suey,3,11,72
72,Why,Chop Suey,3,12,73
73,you,Chop Suey,3,12,74
74,leave,Chop Suey,3,12,75
75,the,Chop Suey,3,12,76
76,keys,Chop Suey,3,12,77
77,upon,Chop Suey,3,12,78
78,the,Chop Suey,3,12,79
79,table,Chop Suey,3,12,80
80,You,Chop Suey,3,13,81
81,wanted,Chop Suey,3,13,82
82,to,Chop Suey,3,13,83
83,I,Chop Suey,4,14,84
84,don't,Chop Suey,4,14,85
85,think,Chop Suey,4,14,86
86,you,Chop Suey,4,14,87
87,trust,Chop Suey,4,14,88
88,In,Chop Suey,4,15,89
89,my,Chop Suey,4,15,90
90,self,Chop Suey,4,15,91
91,righteous,Chop Suey,4,15,92
92,suicide,Chop Suey,4,15,93
93,I,Chop Suey,4,16,94
94,cry,Chop Suey,4,16,95
95,when,Chop Suey,4,16,96
96,angels,Chop Suey,4,16,97
97,deserve,Chop Suey,4,16,98
98,to,Chop Suey,4,16,99
99,Die,Chop Suey,4,17,100
100,Wake,Chop Suey,5,18,101
101,up,Chop Suey,5,18,102
102,wake,Chop Suey,5,18,103
103,up,Chop Suey,5,18,104
104,Grab,Chop Suey,5,19,105
105,a,Chop Suey,5,19,106
106,brush,Chop Suey,5,19,107
107,and,Chop Suey,5,19,108
108,put,Chop Suey,5,19,109
109,a,Chop Suey,5,19,110
110,little,Chop Suey,5,19,111
111,make,Chop Suey,5,19,112
112,up,Chop Suey,5,19,113
113,Hide,Chop Suey,5,20,114
114,the,Chop Suey,5,20,115
115,scars,Chop Suey,5,20,116
116,to,Chop Suey,5,20,117
117,fade,Chop Suey,5,20,118
118,away,Chop Suey,5,20,119
119,the,Chop Suey,5,20,120
120,shake,Chop Suey,5,20,121
121,up,Chop Suey,5,20,122
122,hide,Chop Suey,5,20,123
123,the,Chop Suey,5,20,124
124,scars,Chop Suey,5,20,125
125,to,Chop Suey,5,20,126
126,fade,Chop Suey,5,20,127
127,away,Chop Suey,5,20,128
128,the,Chop Suey,5,20,129
129,Why,Chop Suey,5,21,130
130,you,Chop Suey,5,21,131
131,leave,Chop Suey,5,21,132
132,the,Chop Suey,5,21,133
133,keys,Chop Suey,5,21,134
134,upon,Chop Suey,5,21,135
135,the,Chop Suey,5,21,136
136,table,Chop Suey,5,21,137
