,word,song,paragraph,line,index
0,You,Fast Car,1,1,1
1,got,Fast Car,1,1,2
2,a,Fast Car,1,1,3
3,fast,Fast Car,1,1,4
4,car,Fast Car,1,1,5
5,I,Fast Car,1,2,6
6,want,Fast Car,1,2,7
7,a,Fast Car,1,2,8
8,ticket,Fast Car,1,2,9
9,to,Fast Car,1,2,10
10,anywhere,Fast Car,1,2,11
11,Maybe,Fast Car,1,3,12
12,we,Fast Car,1,3,13
13,make,Fast Car,1,3,14
14,a,Fast Car,1,3,15
15,deal,Fast Car,1,3,16
16,Maybe,Fast Car,1,4,17
17,together,Fast Car,1,4,18
18,we,Fast Car,1,4,19
19,can,Fast Car,1,4,20
20,get,Fast Car,1,4,21
21,somewhere,Fast Car,1,4,22
22,Any,Fast Car,1,5,23
23,place,Fast Car,1,5,24
24,is,Fast Car,1,5,25
25,better,Fast Car,1,5,26
26,Starting,Fast Car,1,6,27
27,from,Fast Car,1,6,28
28,zero,Fast Car,1,6,29
29,got,Fast Car,1,6,30
30,nothing,Fast Car,1,6,31
31,to,Fast Car,1,6,32
32,lose,Fast Car,1,6,33
33,Maybe,Fast Car,1,7,34
34,we,Fast Car,1,7,35
35,make,Fast Car,1,7,36
36,something,Fast Car,1,7,37
37,Me,Fast Car,1,8,38
38,myself,Fast Car,1,8,39
39,I,Fast Car,1,8,40
40,got,Fast Car,1,8,41
41,nothing,Fast Car,1,8,42
42,to,Fast Car,1,8,43
43,prove,Fast Car,1,8,44
44,You,Fast Car,2,9,45
45,got,Fast Car,2,9,46
46,a,Fast Car,2,9,47
47,fast,Fast Car,2,9,48
48,car,Fast Car,2,9,49
49,I,Fast Car,2,10,50
50,got,Fast Car,2,10,51
51,a,Fast Car,2,10,52
52,plan,Fast Car,2,10,53
53,to,Fast Car,2,10,54
54,get,Fast Car,2,10,55
55,us,Fast Car,2,10,56
56,out,Fast Car,2,10,57
57,of,Fast Car,2,10,58
58,here,Fast Car,2,10,59
59,I,Fast Car,2,11,60
60,been,Fast Car,2,11,61
61,working,Fast Car,2,11,62
62,at,Fast Car,2,11,63
63,the,Fast Car,2,11,64
64,convenience,Fast Car,2,11,65
65,store,Fast Car,2,11,66
66,Managed,Fast Car,2,12,67
67,to,Fast Car,2,12,68
68,save,Fast Car,2,12,69
69,just,Fast Car,2,12,70
70,a,Fast Car,2,12,71
71,little,Fast Car,2,12,72
72,bit,Fast Car,2,12,73
73,of,Fast Car,2,12,74
74,money,Fast Car,2,12,75
75,Won't,Fast Car,2,13,76
76,have,Fast Car,2,13,77
77,to,Fast Car,2,13,78
78,drive,Fast Car,2,13,79
79,too,Fast Car,2,13,80
80,far,Fast Car,2,13,81
81,Just,Fast Car,2,14,82
82,cross,Fast Car,2,14,83
83,the,Fast Car,2,14,84
84,border,Fast Car,2,14,85
85,and,Fast Car,2,14,86
86,into,Fast Car,2,14,87
87,the,Fast Car,2,14,88
88,city,Fast Car,2,14,89
89,You,Fast Car,2,15,90
90,and,Fast Car,2,15,91
91,I,Fast Car,2,15,92
92,can,Fast Car,2,15,93
93,both,Fast Car,2,15,94
94,get,Fast Car,2,15,95
95,jobs,Fast Car,2,15,96
96,And,Fast Car,2,16,97
97,finally,Fast Car,2,16,98
98,see,Fast Car,2,16,99
99,what,Fast Car,2,16,100
100,it,Fast Car,2,16,101
101,means,Fast Car,2,16,102
102,to,Fast Car,2,16,103
103,be,Fast Car,2,16,104
104,living,Fast Car,2,16,105
105,See,Fast Car,3,17,106
106,my,Fast Car,3,17,107
107,old,Fast Car,3,17,108
108,man,Fast Car,3,17,109
109,got,Fast Car,3,17,110
110,a,Fast Car,3,17,111
111,problem,Fast Car,3,17,112
112,He,Fast Car,3,18,113
113,live,Fast Car,3,18,114
114,with,Fast Car,3,18,115
115,the,Fast Car,3,18,116
116,bottle,Fast Car,3,18,117
117,that,Fast Car,3,18,118
118,the,Fast Car,3,18,119
119,way,Fast Car,3,18,120
120,it,Fast Car,3,18,121
121,is,Fast Car,3,18,122
122,He,Fast Car,3,19,123
123,says,Fast Car,3,19,124
124,his,Fast Car,3,19,125
125,body,Fast Car,3,19,126
126,too,Fast Car,3,19,127
127,old,Fast Car,3,19,128
128,for,Fast Car,3,19,129
129,working,Fast Car,3,19,130
130,His,Fast Car,3,20,131
131,body,Fast Car,3,20,132
132,too,Fast Car,3,20,133
133,young,Fast Car,3,20,134
134,to,Fast Car,3,20,135
135,look,Fast Car,3,20,136
136,like,Fast Car,3,20,137
137,his,Fast Car,3,20,138
138,My,Fast Car,3,21,139
139,mama,Fast Car,3,21,140
