,word,song,paragraph,line,index
0,We,Flowers,1,1,1
1,were,Flowers,1,1,2
2,good,Flowers,1,1,3
3,we,Flowers,1,1,4
4,were,Flowers,1,1,5
5,gold,Flowers,1,1,6
6,Kinda,Flowers,1,2,7
7,dream,Flowers,1,2,8
8,that,Flowers,1,2,9
9,can't,Flowers,1,2,10
10,be,Flowers,1,2,11
11,sold,Flowers,1,2,12
12,We,Flowers,1,3,13
13,were,Flowers,1,3,14
14,right,Flowers,1,3,15
15,till,Flowers,1,3,16
16,we,Flowers,1,3,17
17,weren't,Flowers,1,3,18
18,Built,Flowers,1,4,19
19,a,Flowers,1,4,20
20,home,Flowers,1,4,21
21,and,Flowers,1,4,22
22,watched,Flowers,1,4,23
23,it,Flowers,1,4,24
24,burn,Flowers,1,4,25
25,I,Flowers,2,5,26
26,didn't,Flowers,2,5,27
27,wanna,Flowers,2,5,28
28,leave,Flowers,2,5,29
29,you,Flowers,2,5,30
30,I,Flowers,2,6,31
31,didn't,Flowers,2,6,32
32,wanna,Flowers,2,6,33
33,lie,Flowers,2,6,34
34,Started,Flowers,2,7,35
35,to,Flowers,2,7,36
36,cry,Flowers,2,7,37
37,but,Flowers,2,7,38
38,then,Flowers,2,7,39
39,remembered,Flowers,2,7,40
40,I,Flowers,2,7,41
41,I,Flowers,3,8,42
42,can,Flowers,3,8,43
43,buy,Flowers,3,8,44
44,myself,Flowers,3,8,45
45,flowers,Flowers,3,8,46
46,Write,Flowers,3,9,47
47,my,Flowers,3,9,48
48,name,Flowers,3,9,49
49,in,Flowers,3,9,50
50,the,Flowers,3,9,51
51,sand,Flowers,3,9,52
52,Talk,Flowers,3,10,53
53,to,Flowers,3,10,54
54,myself,Flowers,3,10,55
55,for,Flowers,3,10,56
56,hours,Flowers,3,10,57
57,Say,Flowers,3,11,58
58,things,Flowers,3,11,59
59,you,Flowers,3,11,60
60,don't,Flowers,3,11,61
61,understand,Flowers,3,11,62
62,I,Flowers,3,12,63
63,can,Flowers,3,12,64
64,take,Flowers,3,12,65
65,myself,Flowers,3,12,66
66,dancing,Flowers,3,12,67
67,And,Flowers,3,13,68
68,I,Flowers,3,13,69
69,can,Flowers,3,13,70
70,hold,Flowers,3,13,71
71,my,Flowers,3,13,72
72,own,Flowers,3,13,73
73,hand,Flowers,3,13,74
74,Yeah,Flowers,3,14,75
75,I,Flowers,3,14,76
76,can,Flowers,3,14,77
77,love,Flowers,3,14,78
78,me,Flowers,3,14,79
79,better,Flowers,3,14,80
80,than,Flowers,3,14,81
81,you,Flowers,3,14,82
82,can,Flowers,3,14,83
83,Can,Flowers,4,15,84
84,love,Flowers,4,15,85
85,me,Flowers,4,15,86
86,better,Flowers,4,15,87
87,I,Flowers,4,16,88
88,can,Flowers,4,16,89
89,love,Flowers,4,16,90
90,me,Flowers,4,16,91
91,better,Flowers,4,16,92
92,baby,Flowers,4,16,93
93,Can,Flowers,4,17,94
94,love,Flowers,4,17,95
95,me,Flowers,4,17,96
96,better,Flowers,4,17,97
97,I,Flowers,4,18,98
98,can,Flowers,4,18,99
99,love,Flowers,4,18,100
100,me,Flowers,4,18,101
101,better,Flowers,4,18,102
102,baby,Flowers,4,18,103
103,Paint,Flowers,5,19,104
104,my,Flowers,5,19,105
105,nails,Flowers,5,19,106
106,cherry,Flowers,5,19,107
107,red,Flowers,5,19,108
108,Match,Flowers,5,20,109
109,the,Flowers,5,20,110
110,roses,Flowers,5,20,111
111,that,Flowers,5,20,112
112,you,Flowers,5,20,113
113,left,Flowers,5,20,114
114,No,Flowers,5,21,115
115,remorse,Flowers,5,21,116
116,no,Flowers,5,21,117
117,regret,Flowers,5,21,118
118,I,Flowers,5,22,119
119,forgive,Flowers,5,22,120
120,every,Flowers,5,22,121
121,word,Flowers,5,22,122
122,you,Flowers,5,22,123
123,said,Flowers,5,22,124
124,I,Flowers,6,23,125
125,didn't,Flowers,6,23,126
126,wanna,Flowers,6,23,127
127,leave,Flowers,6,23,128
128,you,Flowers,6,23,129
129,baby,Flowers,6,23,130
130,I,Flowers,6,24,131
131,didn't,Flowers,6,24,132
132,wanna,Flowers,6,24,133
133,fight,Flowers,6,24,134
134,Started,Flowers,6,25,135
135,to,Flowers,6,25,136
136,cry,Flowers,6,25,137
137,but,Flowers,6,25,138
138,then,Flowers,6,25,139
139,remembered,Flowers,6,25,140
140,I,Flowers,6,25,141
141,I,Flowers,7,26,142
142,can,Flowers,7,26,143
143,buy,Flowers,7,26,144
144,myself,Flowers,7,26,145
145,flowers,Flowers,7,26,146
146,Write,Flowers,7,27,147
147,my,Flowers,7,27,148
148,name,Flowers,7,27,149
149,in,Flowers,7,27,150
150,the,Flowers,7,27,151
