,word,song,paragraph,line,index
0,You,I Want It That Way,1,1,1
1,are,I Want It That Way,1,1,2
2,my,I Want It That Way,1,1,3
3,fire,I Want It That Way,1,1,4
4,The,I Want It That Way,1,2,5
5,one,I Want It That Way,1,2,6
6,desire,I Want It That Way,1,2,7
7,Believe,I Want It That Way,1,3,8
8,when,I Want It That Way,1,3,9
9,I,I Want It That Way,1,3,10
10,say,I Want It That Way,1,3,11
11,I,I Want It That Way,1,4,12
12,want,I Want It That Way,1,4,13
13,it,I Want It That Way,1,4,14
14,that,I Want It That Way,1,4,15
15,way,I Want It That Way,1,4,16
16,But,I Want It That Way,2,5,17
17,we,I Want It That Way,2,5,18
18,are,I Want It That Way,2,5,19
19,two,I Want It That Way,2,5,20
20,worlds,I Want It That Way,2,5,21
21,apart,I Want It That Way,2,5,22
22,Can't,I Want It That Way,2,6,23
23,reach,I Want It That Way,2,6,24
24,to,I Want It That Way,2,6,25
25,your,I Want It That Way,2,6,26
26,heart,I Want It That Way,2,6,27
27,When,I Want It That Way,2,7,28
28,you,I Want It That Way,2,7,29
29,say,I Want It That Way,2,7,30
30,That,I Want It That Way,2,8,31
31,I,I Want It That Way,2,8,32
32,want,I Want It That Way,2,8,33
33,it,I Want It That Way,2,8,34
34,that,I Want It That Way,2,8,35
35,way,I Want It That Way,2,8,36
36,Tell,I Want It That Way,3,9,37
37,me,I Want It That Way,3,9,38
38,why,I Want It That Way,3,9,39
39,Ain't,I Want It That Way,3,10,40
40,nothing,I Want It That Way,3,10,41
41,but,I Want It That Way,3,10,42
42,a,I Want It That Way,3,10,43
43,heartache,I Want It That Way,3,10,44
44,Tell,I Want It That Way,3,11,45
45,me,I Want It That Way,3,11,46
46,why,I Want It That Way,3,11,47
47,Ain't,I Want It That Way,3,12,48
48,nothing,I Want It That Way,3,12,49
49,but,I Want It That Way,3,12,50
50,a,I Want It That Way,3,12,51
51,mistake,I Want It That Way,3,12,52
52,Tell,I Want It That Way,3,13,53
53,me,I Want It That Way,3,13,54
54,why,I Want It That Way,3,13,55
55,I,I Want It That Way,3,14,56
56,never,I Want It That Way,3,14,57
57,wanna,I Want It That Way,3,14,58
58,hear,I Want It That Way,3,14,59
59,you,I Want It That Way,3,14,60
60,say,I Want It That Way,3,14,61
61,I,I Want It That Way,3,15,62
62,want,I Want It That Way,3,15,63
63,it,I Want It That Way,3,15,64
64,that,I Want It That Way,3,15,65
65,way,I Want It That Way,3,15,66
66,Am,I Want It That Way,4,16,67
67,I,I Want It That Way,4,16,68
68,your,I Want It That Way,4,16,69
69,fire,I Want It That Way,4,16,70
70,Your,I Want It That Way,4,17,71
71,one,I Want It That Way,4,17,72
72,desire,I Want It That Way,4,17,73
73,Yes,I Want It That Way,4,18,74
74,I,I Want It That Way,4,18,75
75,know,I Want It That Way,4,18,76
76,it,I Want It That Way,4,18,77
77,too,I Want It That Way,4,18,78
78,late,I Want It That Way,4,18,79
79,But,I Want It That Way,4,19,80
80,I,I Want It That Way,4,19,81
81,want,I Want It That Way,4,19,82
82,it,I Want It That Way,4,19,83
83,that,I Want It That Way,4,19,84
84,way,I Want It That Way,4,19,85
85,Tell,I Want It That Way,5,20,86
86,me,I Want It That Way,5,20,87
87,why,I Want It That Way,5,20,88
88,Ain't,I Want It That Way,5,21,89
89,nothing,I Want It That Way,5,21,90
90,but,I Want It That Way,5,21,91
91,a,I Want It That Way,5,21,92
92,heartache,I Want It That Way,5,21,93
93,Tell,I Want It That Way,5,22,94
94,me,I Want It That Way,5,22,95
95,why,I Want It That Way,5,22,96
96,Ain't,I Want It That Way,5,23,97
97,nothing,I Want It That Way,5,23,98
98,but,I Want It That Way,5,23,99
99,a,I Want It That Way,5,23,100
100,mistake,I Want It That Way,5,23,101
101,Tell,I Want It That Way,5,24,102
102,me,I Want It That Way,5,24,103
103,why,I Want It That Way,5,24,104
104,I,I Want It That Way,5,25,105
105,never,I Want It That Way,5,25,106
106,wanna,I Want It That Way,5,25,107
107,hear,I Want It That Way,5,25,108
108,you,I Want It That Way,5,25,109
109,say,I Want It That Way,5,25,110
110,I,I Want It That Way,5,26,111
111,want,I Want It That Way,5,26,112
112,it,I Want It That Way,5,26,113
113,that,I Want It That Way,5,26,114
114,way,I Want It That Way,5,26,115
115,Now,I Want It That Way,6,27,116
116,I,I Want It That Way,6,27,117
117,can,I Want It That Way,6,27,118
118,see,I Want It That Way,6,27,119
119,that,I Want It That Way,6,27,120
120,we,I Want It That Way,6,27,121
121,falling,I Want It That Way,6,27,122
122,apart,I Want It That Way,6,27,123
123,From,I Want It That Way,6,28,124
124,the,I Want It That Way,6,28,125
125,way,I Want It That Way,6,28,126
126,that,I Want It That Way,6,28,127
127,it,I Want It That Way,6,28,128
128,used,I Want It That Way,6,28,129
129,to,I Want It That Way,6,28,130
130,be,I Want It That Way,6,28,131
131,yeah,I Want It That Way,6,28,132
132,No,I Want It That Way,6,29,133
133,matter,I Want It That Way,6,29,134
134,the,I Want It That Way,6,29,135
135,distance,I Want It That Way,6,29,136
136,I,I Want It That Way,6,30,137
137,want,I Want It That Way,6,30,138
138,you,I Want It That Way,6,30,139
139,to,I Want It That Way,6,30,140
140,know,I Want It That Way,6,30,141
141,That,I Want It That Way,6,31,142
142,deep,I Want It That Way,6,31,143
143,down,I Want It That Way,6,31,144
144,inside,I Want It That Way,6,31,145
145,of,I Want It That Way,6,31,146
146,me,I Want It That Way,6,31,147
147,You,I Want It That Way,7,32,148
148,are,I Want It That Way,7,32,149
149,my,I Want It That Way,7,32,150
150,fire,I Want It That Way,7,32,151
151,The,I Want It That Way,7,33,152
152,one,I Want It That Way,7,33,153
153,desire,I Want It That Way,7,33,154
154,You,I Want It That Way,7,34,155
155,are,I Want It That Way,7,34,156
156,You,I Want It That Way,7,35,157
157,are,I Want It That Way,7,35,158
158,you,I Want It That Way,7,35,159
159,are,I Want It That Way,7,35,160
160,you,I Want It That Way,7,35,161
161,are,I Want It That Way,7,35,162
162,Don't,I Want It That Way,8,36,163
163,wanna,I Want It That Way,8,36,164
164,hear,I Want It That Way,8,36,165
165,you,I Want It That Way,8,36,166
166,say,I Want It That Way,8,36,167
167,Ain't,I Want It That Way,8,37,168
168,nothing,I Want It That Way,8,37,169
169,but,I Want It That Way,8,37,170
170,a,I Want It That Way,8,37,171
171,heartache,I Want It That Way,8,37,172
172,Ain't,I Want It That Way,8,38,173
173,nothing,I Want It That Way,8,38,174
174,but,I Want It That Way,8,38,175
175,a,I Want It That Way,8,38,176
176,mistake,I Want It That Way,8,38,177
177,don't,I Want It That Way,8,38,178
178,wanna,I Want It That Way,8,38,179
179,hear,I Want It That Way,8,38,180
180,you,I Want It That Way,8,38,181
181,say,I Want It That Way,8,38,182
182,I,I Want It That Way,8,39,183
183,never,I Want It That Way,8,39,184
184,wanna,I Want It That Way,8,39,185
185,hear,I Want It That Way,8,39,186
186,you,I Want It That Way,8,39,187
187,say,I Want It That Way,8,39,188
188,oh,I Want It That Way,8,39,189
189,yeah,I Want It That Way,8,39,190
190,I,I Want It That Way,8,40,191
191,want,I Want It That Way,8,40,192
192,it,I Want It That Way,8,40,193
193,that,I Want It That Way,8,40,194
194,way,I Want It That Way,8,40,195
195,Tell,I Want It That Way,9,41,196
196,me,I Want It That Way,9,41,197
197,why,I Want It That Way,9,41,198
198,Ain't,I Want It That Way,9,42,199
199,nothing,I Want It That Way,9,42,200
200,but,I Want It That Way,9,42,201
201,a,I Want It That Way,9,42,202
202,heartache,I Want It That Way,9,42,203
203,Tell,I Want It That Way,9,43,204
204,me,I Want It That Way,9,43,205
205,why,I Want It That Way,9,43,206
206,Ain't,I Want It That Way,9,44,207
207,nothing,I Want It That Way,9,44,208
208,but,I Want It That Way,9,44,209
209,a,I Want It That Way,9,44,210
210,mistake,I Want It That Way,9,44,211
211,Tell,I Want It That Way,9,45,212
212,me,I Want It That Way,9,45,213
213,why,I Want It That Way,9,45,214
214,I,I Want It That Way,9,46,215
215,never,I Want It That Way,9,46,216
216,wanna,I Want It That Way,9,46,217
217,hear,I Want It That Way,9,46,218
218,you,I Want It That Way,9,46,219
219,say,I Want It That Way,9,46,220
220,don't,I Want It That Way,9,46,221
221,wanna,I Want It That Way,9,46,222
222,hear,I Want It That Way,9,46,223
223,you,I Want It That Way,9,46,224
224,say,I Want It That Way,9,46,225
225,I,I Want It That Way,9,47,226
226,want,I Want It That Way,9,47,227
227,it,I Want It That Way,9,47,228
228,that,I Want It That Way,9,47,229
229,way,I Want It That Way,9,47,230
230,Tell,I Want It That Way,10,48,231
231,me,I Want It That Way,10,48,232
232,why,I Want It That Way,10,48,233
233,Ain't,I Want It That Way,10,49,234
234,nothing,I Want It That Way,10,49,235
235,but,I Want It That Way,10,49,236
236,a,I Want It That Way,10,49,237
237,heartache,I Want It That Way,10,49,238
238,Ain't,I Want It That Way,10,50,239
239,nothing,I Want It That Way,10,50,240
240,but,I Want It That Way,10,50,241
241,a,I Want It That Way,10,50,242
242,mistake,I Want It That Way,10,50,243
243,Tell,I Want It That Way,10,51,244
244,me,I Want It That Way,10,51,245
245,why,I Want It That Way,10,51,246
246,I,I Want It That Way,10,52,247
247,never,I Want It That Way,10,52,248
248,wanna,I Want It That Way,10,52,249
249,hear,I Want It That Way,10,52,250
250,you,I Want It That Way,10,52,251
251,say,I Want It That Way,10,52,252
252,never,I Want It That Way,10,52,253
253,wanna,I Want It That Way,10,52,254
254,hear,I Want It That Way,10,52,255
255,you,I Want It That Way,10,52,256
256,say,I Want It That Way,10,52,257
257,I,I Want It That Way,10,53,258
258,want,I Want It That Way,10,53,259
259,it,I Want It That Way,10,53,260
260,that,I Want It That Way,10,53,261
261,way,I Want It That Way,10,53,262
262,Cause,I Want It That Way,11,54,263
263,I,I Want It That Way,11,54,264
264,want,I Want It That Way,11,54,265
265,it,I Want It That Way,11,54,266
266,that,I Want It That Way,11,54,267
267,way,I Want It That Way,11,54,268
