,word,song,paragraph,line,index
0,I,Wind Of Change,1,1,1
1,follow,Wind Of Change,1,1,2
2,the,Wind Of Change,1,1,3
3,Moskva,Wind Of Change,1,1,4
4,Down,Wind Of Change,1,2,5
5,to,Wind Of Change,1,2,6
6,Gorky,Wind Of Change,1,2,7
7,Park,Wind Of Change,1,2,8
8,Listening,Wind Of Change,1,3,9
9,to,Wind Of Change,1,3,10
10,the,Wind Of Change,1,3,11
11,wind,Wind Of Change,1,3,12
12,of,Wind Of Change,1,3,13
13,change,Wind Of Change,1,3,14
14,An,Wind Of Change,1,4,15
15,August,Wind Of Change,1,4,16
16,summer,Wind Of Change,1,4,17
17,night,Wind Of Change,1,4,18
18,Soldiers,Wind Of Change,1,5,19
19,passing,Wind Of Change,1,5,20
20,by,Wind Of Change,1,5,21
21,Listening,Wind Of Change,1,6,22
22,to,Wind Of Change,1,6,23
23,the,Wind Of Change,1,6,24
24,wind,Wind Of Change,1,6,25
25,of,Wind Of Change,1,6,26
26,change,Wind Of Change,1,6,27
27,The,Wind Of Change,2,7,28
28,world,Wind Of Change,2,7,29
29,is,Wind Of Change,2,7,30
30,closing,Wind Of Change,2,7,31
31,in,Wind Of Change,2,7,32
32,And,Wind Of Change,2,8,33
33,did,Wind Of Change,2,8,34
34,you,Wind Of Change,2,8,35
35,ever,Wind Of Change,2,8,36
36,think,Wind Of Change,2,8,37
37,That,Wind Of Change,2,9,38
38,we,Wind Of Change,2,9,39
39,could,Wind Of Change,2,9,40
40,be,Wind Of Change,2,9,41
41,so,Wind Of Change,2,9,42
42,close,Wind Of Change,2,9,43
43,Like,Wind Of Change,2,10,44
44,brothers,Wind Of Change,2,10,45
45,The,Wind Of Change,2,11,46
46,future,Wind Of Change,2,11,47
47,in,Wind Of Change,2,11,48
48,the,Wind Of Change,2,11,49
49,air,Wind Of Change,2,11,50
50,I,Wind Of Change,2,12,51
51,can,Wind Of Change,2,12,52
52,feel,Wind Of Change,2,12,53
53,it,Wind Of Change,2,12,54
54,everywhere,Wind Of Change,2,12,55
55,Blowing,Wind Of Change,2,13,56
56,with,Wind Of Change,2,13,57
57,the,Wind Of Change,2,13,58
58,wind,Wind Of Change,2,13,59
59,of,Wind Of Change,2,13,60
60,change,Wind Of Change,2,13,61
61,Take,Wind Of Change,3,14,62
62,me,Wind Of Change,3,14,63
63,to,Wind Of Change,3,14,64
64,the,Wind Of Change,3,14,65
65,magic,Wind Of Change,3,14,66
66,of,Wind Of Change,3,14,67
67,the,Wind Of Change,3,14,68
68,moment,Wind Of Change,3,14,69
69,On,Wind Of Change,3,15,70
70,a,Wind Of Change,3,15,71
71,glory,Wind Of Change,3,15,72
72,night,Wind Of Change,3,15,73
73,Where,Wind Of Change,3,16,74
74,the,Wind Of Change,3,16,75
75,children,Wind Of Change,3,16,76
76,of,Wind Of Change,3,16,77
77,tomorrow,Wind Of Change,3,16,78
78,dream,Wind Of Change,3,16,79
79,away,Wind Of Change,3,16,80
80,dream,Wind Of Change,3,16,81
81,away,Wind Of Change,3,16,82
82,In,Wind Of Change,3,17,83
83,the,Wind Of Change,3,17,84
84,wind,Wind Of Change,3,17,85
85,of,Wind Of Change,3,17,86
86,change,Wind Of Change,3,17,87
87,Mmmmmmm,Wind Of Change,3,18,88
88,Walking,Wind Of Change,4,19,89
89,down,Wind Of Change,4,19,90
90,the,Wind Of Change,4,19,91
91,street,Wind Of Change,4,19,92
92,And,Wind Of Change,4,20,93
93,distant,Wind Of Change,4,20,94
94,memories,Wind Of Change,4,20,95
95,Are,Wind Of Change,4,21,96
96,buried,Wind Of Change,4,21,97
97,in,Wind Of Change,4,21,98
98,the,Wind Of Change,4,21,99
99,past,Wind Of Change,4,21,100
100,forever,Wind Of Change,4,21,101
101,I,Wind Of Change,4,22,102
102,follow,Wind Of Change,4,22,103
103,the,Wind Of Change,4,22,104
104,Moskva,Wind Of Change,4,22,105
105,And,Wind Of Change,4,23,106
106,down,Wind Of Change,4,23,107
107,to,Wind Of Change,4,23,108
108,Gorky,Wind Of Change,4,23,109
109,Park,Wind Of Change,4,23,110
110,Listening,Wind Of Change,4,24,111
111,to,Wind Of Change,4,24,112
112,the,Wind Of Change,4,24,113
113,wind,Wind Of Change,4,24,114
114,of,Wind Of Change,4,24,115
115,change,Wind Of Change,4,24,116
116,Take,Wind Of Change,5,25,117
117,me,Wind Of Change,5,25,118
118,take,Wind Of Change,5,25,119
119,me,Wind Of Change,5,25,120
120,to,Wind Of Change,5,25,121
121,the,Wind Of Change,5,25,122
122,magic,Wind Of Change,5,25,123
123,of,Wind Of Change,5,25,124
124,the,Wind Of Change,5,25,125
125,moment,Wind Of Change,5,25,126
126,On,Wind Of Change,5,26,127
127,a,Wind Of Change,5,26,128
128,glory,Wind Of Change,5,26,129
129,night,Wind Of Change,5,26,130
130,a,Wind Of Change,5,26,131
131,glory,Wind Of Change,5,26,132
132,night,Wind Of Change,5,26,133
133,Where,Wind Of Change,5,27,134
134,the,Wind Of Change,5,27,135
135,children,Wind Of Change,5,27,136
136,of,Wind Of Change,5,27,137
137,tomorrow,Wind Of Change,5,27,138
138,share,Wind Of Change,5,27,139
139,their,Wind Of Change,5,27,140
140,dreams,Wind Of Change,5,27,141
141,share,Wind Of Change,5,27,142
142,their,Wind Of Change,5,27,143
143,dreams,Wind Of Change,5,27,144
144,With,Wind Of Change,5,28,145
145,you,Wind Of Change,5,28,146
146,and,Wind Of Change,5,28,147
147,me,Wind Of Change,5,28,148
148,you,Wind Of Change,5,28,149
149,and,Wind Of Change,5,28,150
150,me,Wind Of Change,5,28,151
151,Take,Wind Of Change,5,29,152
152,me,Wind Of Change,5,29,153
153,take,Wind Of Change,5,29,154
154,me,Wind Of Change,5,29,155
155,to,Wind Of Change,5,29,156
156,the,Wind Of Change,5,29,157
157,magic,Wind Of Change,5,29,158
158,of,Wind Of Change,5,29,159
159,the,Wind Of Change,5,29,160
160,moment,Wind Of Change,5,29,161
161,On,Wind Of Change,5,30,162
162,a,Wind Of Change,5,30,163
163,glory,Wind Of Change,5,30,164
164,night,Wind Of Change,5,30,165
165,a,Wind Of Change,5,30,166
166,glory,Wind Of Change,5,30,167
167,night,Wind Of Change,5,30,168
168,Where,Wind Of Change,5,31,169
169,the,Wind Of Change,5,31,170
170,children,Wind Of Change,5,31,171
171,of,Wind Of Change,5,31,172
172,tomorrow,Wind Of Change,5,31,173
173,dream,Wind Of Change,5,31,174
174,away,Wind Of Change,5,31,175
175,dream,Wind Of Change,5,31,176
176,away,Wind Of Change,5,31,177
177,In,Wind Of Change,5,32,178
178,the,Wind Of Change,5,32,179
179,wind,Wind Of Change,5,32,180
180,of,Wind Of Change,5,32,181
181,change,Wind Of Change,5,32,182
182,wind,Wind Of Change,5,32,183
183,of,Wind Of Change,5,32,184
184,change,Wind Of Change,5,32,185
185,The,Wind Of Change,6,33,186
186,wind,Wind Of Change,6,33,187
187,of,Wind Of Change,6,33,188
188,change,Wind Of Change,6,33,189
189,blows,Wind Of Change,6,33,190
190,straight,Wind Of Change,6,33,191
191,Into,Wind Of Change,6,34,192
192,the,Wind Of Change,6,34,193
193,face,Wind Of Change,6,34,194
194,of,Wind Of Change,6,34,195
195,time,Wind Of Change,6,34,196
196,Like,Wind Of Change,6,35,197
197,a,Wind Of Change,6,35,198
198,storm,Wind Of Change,6,35,199
199,wind,Wind Of Change,6,35,200
200,that,Wind Of Change,6,35,201
201,will,Wind Of Change,6,35,202
202,ring,Wind Of Change,6,35,203
203,The,Wind Of Change,6,36,204
204,freedom,Wind Of Change,6,36,205
205,bell,Wind Of Change,6,36,206
206,for,Wind Of Change,6,36,207
207,peace,Wind Of Change,6,36,208
208,of,Wind Of Change,6,36,209
209,mind,Wind Of Change,6,36,210
210,Let,Wind Of Change,6,37,211
211,your,Wind Of Change,6,37,212
212,balalaika,Wind Of Change,6,37,213
213,sing,Wind Of Change,6,37,214
214,What,Wind Of Change,6,38,215
215,my,Wind Of Change,6,38,216
216,guitar,Wind Of Change,6,38,217
217,wants,Wind Of Change,6,38,218
218,to,Wind Of Change,6,38,219
219,sing,Wind Of Change,6,38,220
220,sing,Wind Of Change,6,38,221
221,Take,Wind Of Change,7,39,222
222,me,Wind Of Change,7,39,223
