,word,song,paragraph,line,index
0,If,Witness,1,1,1
1,I,Witness,1,1,2
2,lost,Witness,1,1,3
3,it,Witness,1,1,4
4,all,Witness,1,1,5
5,today,Witness,1,1,6
6,would,Witness,1,1,7
7,you,Witness,1,1,8
8,stay,Witness,1,1,9
9,Could,Witness,1,2,10
10,my,Witness,1,2,11
11,love,Witness,1,2,12
12,be,Witness,1,2,13
13,enough,Witness,1,2,14
14,to,Witness,1,2,15
15,stimulate,Witness,1,2,16
16,If,Witness,1,3,17
17,shit,Witness,1,3,18
18,hit,Witness,1,3,19
19,the,Witness,1,3,20
20,fan,Witness,1,3,21
21,grenades,Witness,1,3,22
22,got,Witness,1,3,23
23,thrown,Witness,1,3,24
24,Would,Witness,1,4,25
25,you,Witness,1,4,26
26,still,Witness,1,4,27
27,show,Witness,1,4,28
28,oh,Witness,1,4,29
29,Could,Witness,1,5,30
30,you,Witness,1,5,31
31,go,Witness,1,5,32
32,down,Witness,1,5,33
33,with,Witness,1,5,34
34,me,Witness,1,5,35
35,to,Witness,1,5,36
36,the,Witness,1,5,37
37,mat,Witness,1,5,38
38,Could,Witness,1,6,39
39,we,Witness,1,6,40
40,get,Witness,1,6,41
41,back,Witness,1,6,42
42,up,Witness,1,6,43
43,and,Witness,1,6,44
44,eventually,Witness,1,6,45
45,laugh,Witness,1,6,46
46,Roll,Witness,1,7,47
47,eyes,Witness,1,7,48
48,at,Witness,1,7,49
49,highs,Witness,1,7,50
50,cheers,Witness,1,7,51
51,in,Witness,1,7,52
52,the,Witness,1,7,53
53,lows,Witness,1,7,54
54,and,Witness,1,7,55
55,stay,Witness,1,7,56
56,in,Witness,1,7,57
57,the,Witness,1,7,58
58,flow,Witness,1,7,59
59,o,Witness,1,7,60
60,o,Witness,1,7,61
61,o,Witness,1,7,62
62,Cause,Witness,2,8,63
63,I,Witness,2,8,64
64,I,Witness,2,8,65
65,only,Witness,2,8,66
66,got,Witness,2,8,67
67,this,Witness,2,8,68
68,life,Witness,2,8,69
69,And,Witness,2,9,70
70,I,Witness,2,9,71
71,ain't,Witness,2,9,72
72,got,Witness,2,9,73
73,the,Witness,2,9,74
74,time,Witness,2,9,75
75,no,Witness,2,9,76
76,Not,Witness,2,10,77
77,to,Witness,2,10,78
78,get,Witness,2,10,79
79,it,Witness,2,10,80
80,right,Witness,2,10,81
81,oh,Witness,2,10,82
82,We,Witness,3,11,83
83,all,Witness,3,11,84
84,just,Witness,3,11,85
85,looking,Witness,3,11,86
86,for,Witness,3,11,87
87,connection,Witness,3,11,88
