,word,song,paragraph,line,index
0,You,You know now,1,1,1
1,just,You know now,1,1,2
2,a,You know now,1,1,3
3,little,You know now,1,1,4
4,boy,You know now,1,1,5
5,underneath,You know now,1,1,6
6,that,You know now,1,1,7
7,hat,You know now,1,1,8
8,You,You know now,1,2,9
9,need,You know now,1,2,10
10,your,You know now,1,2,11
11,nerve,You know now,1,2,12
12,to,You know now,1,2,13
13,hide,You know now,1,2,14
14,your,You know now,1,2,15
15,ego,You know now,1,2,16
16,don't,You know now,1,2,17
17,come,You know now,1,2,18
18,with,You know now,1,2,19
19,that,You know now,1,2,20
20,You,You know now,1,3,21
21,think,You know now,1,3,22
22,everything,You know now,1,3,23
23,is,You know now,1,3,24
24,handed,You know now,1,3,25
25,to,You know now,1,3,26
26,you,You know now,1,3,27
27,free,You know now,1,3,28
28,But,You know now,1,4,29
29,it,You know now,1,4,30
30,not,You know now,1,4,31
31,that,You know now,1,4,32
32,easy,You know now,1,4,33
33,no,You know now,1,4,34
34,I,You know now,2,5,35
35,gotta,You know now,2,5,36
36,know,You know now,2,5,37
37,you,You know now,2,5,38
38,now,You know now,2,5,39
39,We,You know now,2,6,40
40,may,You know now,2,6,41
41,never,You know now,2,6,42
42,meet,You know now,2,6,43
43,again,You know now,2,6,44
44,I,You know now,2,7,45
45,gotta,You know now,2,7,46
46,know,You know now,2,7,47
47,you,You know now,2,7,48
48,now,You know now,2,7,49
49,and,You know now,2,7,50
50,then,You know now,2,7,51
51,My,You know now,3,8,52
52,girl,You know now,3,8,53
53,says,You know now,3,8,54
54,I,You know now,3,8,55
55,too,You know now,3,8,56
56,sensitive,You know now,3,8,57
57,to,You know now,3,8,58
58,ride,You know now,3,8,59
59,with,You know now,3,8,60
60,you,You know now,3,8,61
61,But,You know now,3,9,62
62,I,You know now,3,9,63
63,not,You know now,3,9,64
64,listening,You know now,3,9,65
65,to,You know now,3,9,66
66,her,You know now,3,9,67
67,mm,You know now,3,9,68
68,hm,You know now,3,9,69
69,Yes,You know now,3,10,70
70,I,You know now,3,10,71
71,perceptive,You know now,3,10,72
72,so,You know now,3,10,73
73,when,You know now,3,10,74
74,I,You know now,3,10,75
75,dance,You know now,3,10,76
76,with,You know now,3,10,77
77,you,You know now,3,10,78
78,you,You know now,3,10,79
79,whisk,You know now,3,10,80
80,your,You know now,3,10,81
81,head,You know now,3,10,82
82,back,You know now,3,10,83
83,the,You know now,3,10,84
84,way,You know now,3,10,85
85,it,You know now,3,10,86
86,were,You know now,3,10,87
87,As,You know now,3,11,88
88,you,You know now,3,11,89
89,were,You know now,3,11,90
90,I,You know now,4,12,91
91,gotta,You know now,4,12,92
92,know,You know now,4,12,93
93,you,You know now,4,12,94
94,now,You know now,4,12,95
95,We,You know now,4,13,96
96,may,You know now,4,13,97
97,never,You know now,4,13,98
98,meet,You know now,4,13,99
99,again,You know now,4,13,100
100,I,You know now,4,14,101
101,gotta,You know now,4,14,102
102,know,You know now,4,14,103
103,you,You know now,4,14,104
104,now,You know now,4,14,105
105,and,You know now,4,14,106
106,then,You know now,4,14,107
107,[Ad,You know now,5,15,108
108,lib],You know now,5,15,109
109,Oh,You know now,6,16,110
110,I,You know now,6,16,111
111,not,You know now,6,16,112
112,ruling,You know now,6,16,113
113,you,You know now,6,16,114
114,out,You know now,6,16,115
115,I,You know now,6,17,116
116,just,You know now,6,17,117
117,in,You know now,6,17,118
118,doubt,You know now,6,17,119
119,as,You know now,6,17,120
120,to,You know now,6,17,121
121,what,You know now,6,17,122
122,you,You know now,6,17,123
123,say,You know now,6,17,124
124,you,You know now,6,17,125
125,all,You know now,6,17,126
126,about,You know now,6,17,127
127,yeah,You know now,6,17,128
128,I,You know now,7,18,129
129,gotta,You know now,7,18,130
130,know,You know now,7,18,131
131,you,You know now,7,18,132
132,now,You know now,7,18,133
133,We,You know now,7,19,134
134,may,You know now,7,19,135
135,never,You know now,7,19,136
136,meet,You know now,7,19,137
137,again,You know now,7,19,138
138,I,You know now,7,20,139
139,gotta,You know now,7,20,140
140,show,You know now,7,20,141
141,you,You know now,7,20,142
142,now,You know now,7,20,143
143,and,You know now,7,20,144
144,them,You know now,7,20,145
145,I,You know now,7,21,146
146,gotta,You know now,7,21,147
147,know,You know now,7,21,148
148,you,You know now,7,21,149
149,now,You know now,7,21,150
150,and,You know now,7,21,151
151,then,You know now,7,21,152
152,I,You know now,8,22,153
153,gotta,You know now,8,22,154
154,know,You know now,8,22,155
155,you,You know now,8,22,156
156,now,You know now,8,22,157
157,We,You know now,8,23,158
158,may,You know now,8,23,159
159,never,You know now,8,23,160
160,meet,You know now,8,23,161
161,again,You know now,8,23,162
162,I,You know now,9,24,163
163,gotta,You know now,9,24,164
164,know,You know now,9,24,165
165,you,You know now,9,24,166
166,now,You know now,9,24,167
167,We,You know now,9,25,168
168,may,You know now,9,25,169
169,never,You know now,9,25,170
170,meet,You know now,9,25,171
171,again,You know now,9,25,172
172,I,You know now,10,26,173
173,gotta,You know now,10,26,174
174,know,You know now,10,26,175
175,you,You know now,10,26,176
176,now,You know now,10,26,177
177,We,You know now,10,27,178
178,may,You know now,10,27,179
179,never,You know now,10,27,180
180,meet,You know now,10,27,181
181,again,You know now,10,27,182
182,I,You know now,11,28,183
183,gotta,You know now,11,28,184
184,know,You know now,11,28,185
185,you,You know now,11,28,186
186,now,You know now,11,28,187
187,We,You know now,11,29,188
188,may,You know now,11,29,189
189,never,You know now,11,29,190
190,meet,You know now,11,29,191
191,again,You know now,11,29,192
